age,experience_years,education_level,department,salary,performance_score,promoted
23,1,Bachelor,Engineering,52000,72,0
27,3,Master,Marketing,61000,85,1
35,10,Bachelor,Engineering,89000,91,1
29,5,PhD,Research,78000,88,1
24,2,Bachelor,Sales,48000,65,0
31,7,Master,Engineering,95000,93,1
22,0,Bachelor,Sales,42000,60,0
38,14,Master,Management,115000,96,1
26,4,Bachelor,Marketing,56000,78,0
33,9,PhD,Research,102000,90,1
28,5,Master,Engineering,74000,82,1
41,18,Bachelor,Management,125000,94,1
25,2,Bachelor,Sales,45000,63,0
30,6,Master,Marketing,68000,80,0
36,12,PhD,Research,110000,95,1
23,1,Bachelor,Engineering,50000,70,0
29,4,Master,Sales,59000,76,0
44,20,Bachelor,Management,130000,97,1
27,3,Bachelor,Marketing,54000,74,0
32,8,Master,Engineering,88000,87,1
26,2,Bachelor,Research,58000,75,0
39,15,PhD,Engineering,118000,93,1
24,1,Bachelor,Sales,43000,61,0
34,10,Master,Management,105000,91,1
28,4,Bachelor,Marketing,60000,79,0
31,7,PhD,Research,95000,89,1
25,3,Bachelor,Engineering,55000,73,0
37,13,Master,Management,112000,92,1
22,0,Bachelor,Sales,40000,58,0
33,9,Master,Engineering,91000,86,1
30,6,Bachelor,Marketing,65000,81,0
42,19,PhD,Research,122000,96,1
27,4,Master,Sales,62000,77,0
35,11,Bachelor,Engineering,87000,88,1
23,1,Bachelor,Marketing,48000,67,0
38,15,Master,Management,116000,95,1
26,3,Bachelor,Research,60000,76,0
32,8,PhD,Engineering,100000,90,1
29,5,Bachelor,Sales,53000,72,0
36,12,Master,Marketing,80000,84,1
24,2,Bachelor,Engineering,51000,69,0
40,17,Master,Management,120000,94,1
28,4,Bachelor,Sales,50000,71,0
31,7,PhD,Research,97000,89,1
25,2,Master,Marketing,57000,75,0
33,10,Bachelor,Engineering,85000,86,1
22,0,Bachelor,Sales,41000,59,0
39,16,Master,Management,118000,93,1
27,3,Bachelor,Research,61000,77,0
34,11,PhD,Engineering,106000,91,1
